CellID,DNA1,BG1,BG2,BG3,DNA2,CD25,CD2,CD10,DNA3,CD163,CD3D,CD5,DNA4,CD30,ACTIN,CD45,DNA5,CD206,CD68,PD1,DNA6,KI67,CD11C,CD7,DNA7,CD8A,FOXP3,CD20,DNA8,CD4,HLADR,PSTAT3,DNA9,PS6,PERK,CD21,DNA10,CD43,NOS2,PDL1,DNA11,CD11B,CD57,MHCI,DNA12,CD15,ASMA,CD56,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,CD25_expression,CD163_expression,CD3D_expression,CD45_expression,CD206_expression,CD68_expression,PD1_expression,KI67_expression,CD11C_expression,CD8A_expression,FOXP3_expression,CD20_expression,CD4_expression,HLADR_expression,CD21_expression,CD43_expression,NOS2_expression,PDL1_expression,CD11B_expression,CD57_expression,MHCI_expression,CD15_expression,ASMA_expression,CD56_expression,detailed_cell_type,broad_cell_type
1,16640.5641,719.6324786,527.7094017,1100.273504,14726.17094,581.5811966,618.3846154,1606.777778,7182.247863,509.3247863,477.5897436,1795.410256,10677.03419,1084.051282,5382.076923,2983.239316,3771.91453,1103.111111,399.3418803,2705.57265,7494.65812,1599.940171,757.7692308,451.6324786,8504.008547,389.8547009,109.042735,7809.042735,7239.435897,1408.564103,807.2393162,2814.196581,5718.74359,617.4273504,260.0598291,20362.76923,3721.222222,756.3589744,370.4615385,1334.666667,3247.74359,969.8034188,148.5726496,4133.598291,2508.555556,1085.735043,218.5470085,3170.470085,511.5555556,9.846153846,117,14.53227038,10.27362788,0.707260822,0.959016393,0.75,-0.695369483,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,B Cell,B Cells
2,16938.30097,686.5533981,469.3009709,1048.048544,14650.61165,565.8932039,442.2912621,1539.398058,7244.252427,496.8252427,484.9029126,1793.932039,10165.42718,1056.427184,3202.825243,2895.475728,3729.495146,1076.504854,352.3980583,2904.805825,6971.31068,5288.281553,725.8446602,433.0485437,8211.699029,380.2524272,101.9320388,4205.223301,7051.174757,1366.407767,998.4951456,2812.883495,5586.271845,594.7281553,244.7669903,5087.757282,3746.0,790.631068,349.2038835,1326.640777,3062.407767,867.8932039,143.3300971,2705.466019,2386.116505,1075.640777,164.4854369,3116.76699,579.3300971,9.398058252,103,16.0562861,8.776322775,0.837395595,0.903508772,0.613095238,1.115706828,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
3,16243.54167,819.4166667,604.3916667,1098.15,14324.90833,666.475,574.3333333,1759.683333,7296.325,548.05,494.1666667,1901.141667,10336.58333,1179.216667,3045.058333,2509.725,3901.975,1155.625,775.5916667,2448.65,7403.65,1932.808333,2533.725,477.5416667,8438.216667,389.1083333,109.1333333,4923.483333,7260.166667,1615.125,968.4166667,2785.666667,5864.183333,906.15,264.625,10590.6,4249.358333,781.4583333,368.4,1401.816667,3333.691667,1236.808333,150.7,4460.333333,2634.016667,1164.391667,227.7416667,3156.108333,630.9583333,12.88333333,120,15.2220045,10.31075603,0.735652971,0.975609756,0.681818182,0.151615546,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
4,20215.44295,695.3087248,444.5436242,1063.375839,17440.28188,558.5033557,408.5771812,1557.738255,8583.442953,472.3691275,347.0939597,1772.805369,12923.10067,1081.255034,4449.959732,3137.201342,4895.798658,1106.0,332.885906,2400.060403,8861.348993,2666.100671,125.0872483,419.2013423,10357.71812,384.3691275,103.8926174,6379.765101,8868.865772,1235.09396,794.7181208,2789.630872,6966.872483,547.4362416,244.6979866,5095.61745,5177.644295,710.738255,359.2483221,1279.228188,3952.899329,674.3087248,144.6845638,2517.95302,3096.026846,1097.530201,155.3624161,3090.751678,745.1946309,16.27516779,149,14.38020046,13.4047589,0.362026674,0.967532468,0.662222222,-0.270451448,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
5,17922.32934,685.9580838,521.6646707,1075.023952,15913.23952,562.0,524.4550898,1596.982036,8090.39521,482.0658683,372.8982036,1808.51497,11358.23952,1041.275449,3203.676647,2656.94012,4390.658683,1079.97006,315.6467066,2396.39521,7671.389222,2875.526946,122.8742515,427.508982,9384.772455,372.9041916,101.2754491,4407.814371,7981.209581,1239.616766,825.754491,2779.275449,6312.275449,514.5928144,251.3353293,18157.99401,4689.820359,725.508982,350.5628743,1326.952096,3575.724551,838.2155689,144.2275449,2677.179641,2866.928144,1107.874251,157.6047904,3074.137725,657.1736527,18.03592814,167,17.67583101,12.11010632,0.728428039,0.943502825,0.695833333,-0.810889758,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
6,16637.04942,666.9593023,432.4767442,1054.688953,14887.5407,558.5494186,536.3953488,1500.401163,7671.296512,489.2005814,665.7616279,1770.860465,10399.71512,1047.305233,3711.02907,3216.81686,3880.555233,1071.488372,315.7151163,3681.30814,7289.337209,3397.715116,100.9796512,511.1773256,8499.674419,373.2383721,102.1569767,4943.063953,7466.773256,1425.049419,861.7877907,2810.572674,5848.133721,538.1133721,245.0465116,11203.57558,4117.572674,872.9127907,358.6860465,1312.43314,3298.465116,668.005814,161.747093,3301.197674,2583.406977,1076.712209,208.8430233,3081.438953,573.255814,21.36337209,344,25.24958833,17.93258704,0.703986811,0.919786096,0.688,-1.541931451,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
7,17428.98758,731.7826087,498.1925466,1156.602484,15325.03727,599.7204969,806.1304348,1759.869565,7472.993789,499.621118,911.2919255,1789.795031,11319.62112,1120.285714,3551.763975,2527.745342,4296.248447,1125.198758,335.1428571,3000.826087,7738.186335,484.6521739,172.9689441,751.8322981,9078.795031,545.9875776,106.6086957,3170.695652,7749.863354,1292.099379,743.0372671,2804.602484,6275.639752,546.0062112,263.5652174,15315.98137,4576.863354,1825.89441,364.0559006,1341.36646,3604.236025,737.6583851,174.9068323,4941.049689,2795.322981,1157.801242,282.1490683,3144.385093,693.8136646,18.92546584,161,15.59784113,13.54223486,0.496193207,0.904494382,0.670833333,0.289214038,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,Cytotoxic T Cell,T Cells
8,21476.56693,675.9055118,403.2440945,1026.944882,18771.98425,563.4015748,713.9606299,1450.149606,8658.787402,476.0,1631.606299,1743.488189,13842.14173,1077.866142,3975.566929,2535.527559,5052.96063,1083.409449,372.8188976,5595.031496,9231.818898,1442.84252,474.9055118,741.3700787,10880.04724,371.7244094,101.9685039,3255.976378,9126.629921,1602.92126,693.4015748,2779.614173,7278.937008,565.4251969,242.1968504,7154.661417,5256.102362,1052.480315,351.8582677,1383.251969,3720.488189,700.1811024,143.023622,3909.897638,3111.173228,1059.700787,239.5590551,3106.015748,786.7559055,18.66929134,127,15.498643,10.82948919,0.71537777,0.940740741,0.566964286,-0.95753058,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,T Cell,T Cells
9,22720.96113,709.9434629,432.3074205,1064.724382,20137.56537,584.614841,658.6713781,1525.837456,10173.25088,523.844523,819.5229682,1771.459364,14537.68551,1089.526502,3853.65371,2819.34629,5210.759717,1127.498233,398.0106007,4931.837456,10059.63604,2319.787986,986.819788,624.254417,11531.18728,378.8657244,109.9929329,3350.077739,9882.017668,1510.628975,807.6501767,2813.321555,7968.922261,531.7385159,255.5229682,7738.565371,5372.155477,1024.381625,372.4169611,1373.0,4428.865724,820.4946996,147.6219081,2948.777385,3424.897527,1112.731449,223.8268551,3127.992933,515.9081272,23.56537102,283,21.17393298,17.77633935,0.543299658,0.901273885,0.585921325,1.225395231,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,T Cell,T Cells
10,15906.02174,734.0289855,659.8985507,1090.753623,14285.63768,585.3985507,611.3768116,1588.652174,7279.710145,519.5942029,448.5724638,1822.485507,10008.05797,1105.637681,4756.971014,3229.07971,3780.594203,1127.456522,327.3115942,2578.253623,7121.195652,1112.173913,155.8550725,432.7173913,8342.137681,397.5797101,109.0797101,6809.57971,7161.5,1314.355072,1038.753623,2815.76087,5652.275362,536.7898551,254.3405797,13143.52899,4017.942029,781.1086957,368.173913,1334.934783,3283.492754,667.1014493,147.8478261,3441.818841,2589.282609,1115.442029,205.3695652,3099.224638,549.7246377,20.69565217,138,14.160818,12.52565142,0.466485576,0.926174497,0.704081633,0.90930707,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
11,18001.72464,701.2028986,480.6775362,1055.322464,15580.51812,567.1304348,671.2391304,1524.438406,7094.952899,469.8478261,763.1268116,1750.753623,11119.2029,1076.054348,4415.826087,3322.601449,4128.561594,1075.75,329.3333333,4875.855072,7303.985507,1378.753623,402.1992754,664.0108696,8593.311594,363.9057971,104.0507246,5804.452899,7232.543478,1499.369565,745.1195652,2785.445652,5658.460145,516.6195652,246.0543478,15184.72826,3981.978261,955.0289855,351.7789855,1317.050725,2782.695652,681.826087,143.3188406,4181.836957,2336.67029,1062.576087,245.8985507,3134.086957,822.0905797,24.48188406,276,20.56850935,17.54794381,0.521672033,0.958333333,0.73015873,-1.207261085,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
12,18065.39394,814.4181818,1050.181818,1140.690909,16025.51515,623.2848485,716.0060606,1706.066667,7891.539394,524.569697,656.3575758,1815.854545,10894.6303,1118.048485,2851.248485,2470.109091,4076.872727,1162.284848,350.3636364,2953.939394,7775.084848,375.0484848,1181.012121,528.7515152,8953.830303,393.2545455,112.1030303,2989.284848,7400.6,1500.763636,856.8545455,2836.660606,5910.060606,617.6,246.6666667,4772.509091,3693.30303,906.8727273,378.4121212,1337.363636,3235.054545,1101.872727,152.5393939,4033.993939,2436.860606,1236.527273,364.5030303,3173.515152,466.8060606,22.34545455,165,21.21484471,10.15640075,0.877956572,0.916666667,0.634615385,1.15203287,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
13,17345.54639,725.5773196,518.8814433,1079.216495,15271.71649,597.7525773,1065.546392,1614.865979,7820.876289,523.5618557,1201.360825,1832.963918,11011.56186,1104.458763,5483.494845,3866.804124,4197.309278,1129.551546,321.0876289,7072.463918,7907.618557,640.4896907,113.5463918,729.0463918,9010.350515,411.1597938,102.4690722,3933.319588,7792.994845,1931.175258,769.2938144,2791.701031,6156.175258,566.8556701,256.4175258,14769.87113,4548.273196,1233.448454,357.3556701,1359.917526,3601.520619,636.8298969,146.9226804,4150.226804,2817.948454,1128.365979,308.185567,3158.051546,595.9845361,23.69072165,194,17.16673236,14.45989668,0.538976417,0.946341463,0.713235294,0.977732195,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,Helper T Cell,T Cells
14,25852.2875,748.5375,558.8083333,1104.991667,22493.0,595.3083333,466.1666667,1611.108333,10963.60833,496.8541667,383.9083333,1789.679167,16392.01667,1138.995833,2915.958333,2493.091667,6016.875,1162.183333,358.0791667,2758.116667,10652.59583,1763.1375,202.1791667,426.8333333,12867.0,387.125,106.5541667,3984.679167,10791.84583,1334.8875,788.35,2782.883333,8434.279167,529.1333333,252.0666667,7494.566667,6385.0625,761.6125,370.9166667,1308.4875,4657.508333,709.7625,151.6916667,2539.033333,3745.095833,1141.158333,144.9375,3145.420833,755.2708333,26.48333333,240,19.28685511,16.3576434,0.529797882,0.93385214,0.705882353,-0.227701741,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
15,10222.59551,609.4494382,461.8202247,998.7752809,9242.640449,515.2359551,1013.47191,1372.179775,4653.044944,464.4382022,933.8651685,1773.05618,6687.337079,975.8876404,5476.685393,3216.955056,2444.58427,1020.101124,361.4269663,5059.910112,4800.797753,355.1910112,1406.741573,554.2921348,5648.202247,322.5168539,97.61797753,5169.921348,4805.910112,1666.370787,827.3595506,2794.404494,3747.842697,536.1011236,223.3820225,11483.64045,2568.573034,886.5280899,337.3370787,1359.146067,2250.595506,908.2921348,215.3595506,4128.932584,1765.303371,991.9213483,296.2247191,3050.438202,496.3146067,21.71910112,89,11.1479573,10.36743383,0.367597297,0.956989247,0.674242424,-1.359742306,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,T Cell,T Cells
16,20699.90667,741.9466667,574.8,1104.28,18583.32,617.7733333,767.36,1639.813333,9342.24,557.2533333,1449.12,1830.8,13216.22667,1123.933333,5175.88,3771.666667,4823.253333,1180.386667,390.7333333,6576.933333,9266.173333,500.32,814.5066667,668.1333333,11066.96,379.0,111.6533333,4729.613333,9216.426667,1637.786667,958.1333333,2810.173333,7359.786667,537.5866667,269.6666667,20234.85333,5102.88,1181.573333,377.5333333,1420.586667,4207.173333,863.28,168.3733333,4970.56,3350.92,1147.16,299.52,3104.733333,539.3866667,22.24,75,12.57922347,7.969694216,0.77369347,0.925925926,0.625,0.461545519,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,T Cell,T Cells
17,21590.01198,689.4011976,443.4730539,1060.838323,18553.41317,573.3532934,639.3113772,1575.682635,9451.035928,498.5748503,460.7964072,1786.550898,12868.31138,1074.179641,3653.946108,2533.772455,5036.203593,1084.694611,322.1497006,2739.622754,8854.826347,5187.892216,276.4071856,451.4251497,10552.93413,407.0359281,99.46107784,5092.257485,9003.634731,1345.209581,865.0359281,2778.556886,7135.335329,574.7065868,246.4550898,11129.2515,5275.461078,750.994012,352.0179641,1293.167665,3984.065868,681.1497006,144.5868263,3190.526946,3189.179641,1099.868263,161.5988024,3100.634731,614.3772455,24.50299401,167,14.80328499,14.53712827,0.188774673,0.965317919,0.695833333,-0.670820353,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
18,16131.30612,670.8163265,441.0748299,1041.823129,13902.06122,536.6938776,465.8979592,1504.816327,6270.346939,455.3129252,453.9047619,1774.326531,9843.272109,1050.918367,3407.47619,2774.823129,3677.62585,1051.979592,322.6530612,3122.238095,6594.244898,1715.312925,129.755102,469.5238095,7830.020408,365.244898,100.2108844,4969.646259,6568.068027,1376.054422,787.3945578,2807.639456,5195.687075,571.8911565,229.9591837,8031.741497,3511.823129,791.8571429,347.2176871,1276.578231,2473.210884,586.3129252,137.9863946,3505.816327,2029.07483,1025.272109,171.0,3093.156463,838.1564626,24.49659864,147,14.68161234,13.42466576,0.404842714,0.924528302,0.7,1.278434268,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
19,17681.25581,647.3895349,406.7732558,1028.706395,15216.8343,536.6162791,490.6133721,1489.238372,7269.273256,447.4418605,344.6598837,1760.880814,11163.63953,1029.526163,3684.912791,2719.156977,4152.877907,1040.218023,317.2267442,2500.159884,7483.863372,1877.909884,120.3982558,423.3575581,8719.915698,354.8633721,100.9040698,5387.215116,7368.531977,1228.156977,784.9796512,2778.514535,5869.415698,513.3023256,231.2093023,8494.915698,4276.328488,673.872093,343.3953488,1298.709302,3047.142442,634.2645349,136.5232558,2508.159884,2511.078488,1035.061047,170.6860465,3060.252907,800.5697674,28.12209302,344,24.97850823,17.91814904,0.696720558,0.974504249,0.682539683,1.041157883,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
20,23166.27551,659.5714286,390.0,1051.867347,20333.14286,557.3061224,369.3979592,1521.265306,9766.734694,465.1530612,424.9387755,1747.806122,14528.12245,1061.836735,2545.714286,2363.367347,5391.55102,1064.418367,325.9489796,2995.132653,9403.663265,2694.704082,93.29591837,484.2040816,11584.37755,345.255102,103.4591837,3176.571429,9781.204082,1224.397959,845.1938776,2794.22449,7786.94898,529.622449,239.255102,4683.204082,5792.663265,711.3163265,354.5102041,1283.102041,4198.010204,620.3571429,136.0102041,1997.673469,3357.326531,1072.489796,142.255102,3027.0,720.7653061,25.80612245,98,14.5562829,8.825940109,0.795211611,0.951456311,0.544444444,0.603697504,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
21,21450.385,678.91,442.695,1061.15,18555.085,554.365,471.325,1585.13,9096.31,468.155,359.275,1800.165,13413.87,1063.365,3587.42,3046.015,5067.505,1066.36,323.02,2450.04,8851.35,3884.165,349.405,413.775,10431.18,355.215,106.2,6637.885,8979.435,1239.855,949.51,2806.4,7213.33,518.11,242.975,6277.835,5330.85,688.45,347.325,1281.075,3965.12,736.045,144.045,2833.865,3090.37,1088.045,150.84,3036.32,736.165,26.095,200,21.10549957,12.49231314,0.806012523,0.938967136,0.714285714,1.228089221,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
22,18549.69091,712.5212121,451.0909091,1058.084848,15856.8,566.8666667,626.9212121,1542.478788,6929.757576,475.5878788,691.3636364,1761.612121,11506.64242,1090.860606,5144.290909,3118.206061,4134.90303,1110.551515,337.0969697,4359.218182,7435.763636,2158.381818,105.1636364,521.9636364,8921.593939,396.3636364,107.2121212,5958.830303,7331.381818,1554.660606,690.9393939,2788.363636,5779.024242,608.8545455,245.7636364,10578.46667,3949.890909,875.4060606,350.5575758,1310.169697,2671.448485,605.0787879,144.2121212,2690.642424,2282.351515,1067.139394,238.8,3105.248485,855.1030303,28.93939394,165,17.74668721,12.44341596,0.712995722,0.964912281,0.647058824,-0.569781106,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
23,36404.87619,882.2380952,512.6285714,1098.790476,31779.59048,684.1809524,815.5333333,1592.714286,15560.22857,592.8571429,1312.6,1739.12381,22076.19048,1227.914286,4705.990476,2709.647619,8080.2,1250.2,376.952381,2796.628571,15771.80952,350.6190476,406.9428571,729.7619048,17988.19048,816.5904762,119.9142857,2040.495238,14999.6381,1493.92381,760.8190476,2823.466667,11731.61905,618.3428571,266.152381,2813.009524,7306.552381,1084.352381,402.0857143,1298.066667,6544.761905,673.6952381,153.4761905,2096.980952,4781.952381,1163.780952,431.0380952,3162.638095,448.6285714,26.55238095,105,12.95898131,10.56428097,0.579166588,0.913043478,0.673076923,-0.017470717,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Cytotoxic T Cell,T Cells
24,14565.37805,612.9085366,425.445122,996.8536585,13171.72561,516.9512195,447.4756098,1413.243902,6614.603659,462.3109756,560.4634146,1757.219512,9069.304878,992.4695122,4797.52439,3096.963415,3285.414634,1026.542683,346.0853659,3656.158537,6378.634146,1093.432927,361.3353659,452.1585366,7257.829268,330.402439,103.8353659,6162.47561,6089.52439,1453.0,905.9390244,2843.341463,4779.0,534.652439,229.4634146,7868.371951,3187.378049,926.847561,342.0121951,1300.676829,2665.884146,666.902439,146.0731707,2652.384146,2051.219512,1003.926829,204.5243902,3061.134146,486.5304878,29.62804878,164,16.20350395,13.06637744,0.59138126,0.947976879,0.643137255,-0.382111502,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,B Cell,B Cells
25,15652.2931,678.4482759,473.2931034,1059.672414,13746.10345,556.7298851,541.4482759,1558.649425,5841.091954,463.7816092,468.4195402,1771.781609,9636.201149,1042.028736,3529.574713,2244.109195,3531.063218,1069.482759,373.8965517,3513.413793,6433.609195,2353.074713,519.954023,464.4827586,7486.683908,367.7241379,99.8908046,5747.431034,6161.132184,1418.442529,711.9597701,2795.017241,4899.902299,596.5,247.1954023,14855.90805,3268.908046,753.5,340.3908046,1344.5,2238.890805,754.3793103,143.408046,3426.074713,1892.528736,1016.816092,237.5689655,3106.235632,867.3333333,29.93103448,174,18.50458015,12.20524539,0.751634633,0.935483871,0.743589744,-0.056207698,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,B Cell,B Cells
26,19822.29358,687.8623853,422.0,1040.87156,17145.57798,560.1192661,672.2110092,1456.908257,8226.816514,485.146789,1144.238532,1761.12844,12704.66972,1066.779817,2522.495413,2584.045872,4707.302752,1103.550459,368.8715596,5704.669725,8281.93578,439.6238532,212.7522936,606.2844037,10318.97248,327.9082569,104.8073394,2473.788991,8544.220183,1524.825688,657.8623853,2777.366972,6714.954128,511.6880734,249.6880734,12654.15596,5043.522936,916.1743119,355.9541284,1384.651376,3648.87156,693.4770642,145.1743119,3817.899083,3027.614679,1092.522936,236.2385321,3084.394495,779.6146789,28.74311927,109,12.49933506,11.10605404,0.458815448,0.973214286,0.756944444,0.845818395,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,T Cell,T Cells
27,29560.13725,788.5,529.5,1084.009804,26079.92157,662.5784314,1039.343137,1571.245098,13104.22549,571.7254902,2269.892157,1783.892157,17923.88235,1175.186275,5227.882353,3532.303922,6574.156863,1198.784314,375.4117647,4053.843137,12888.60784,616.7941176,906.6862745,1266.401961,14860.20588,398.3137255,411.1764706,3016.480392,12112.84314,1924.421569,806.5294118,2878.078431,9710.098039,631.7058824,274.0392157,5947.686275,6380.617647,1266.754902,397.7745098,1330.882353,5525.431373,875.7843137,161.8235294,3523.882353,4136.343137,1170.127451,567.3137255,3112.411765,459.2156863,30.43137255,102,12.65695658,10.48628426,0.55998956,0.944444444,0.653846154,0.380835727,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,Regulatory T Cell,T Cells
28,15897.90226,626.0526316,409.5037594,1021.18797,13733.18045,517.1654135,432.9548872,1434.887218,7072.06015,465.556391,545.7142857,1745.315789,9824.368421,995.4285714,3889.300752,2396.759398,3465.353383,1034.180451,335.7293233,3418.24812,6842.894737,602.3308271,988.3909774,460.9398496,7703.421053,324.1804511,104.1353383,4967.323308,6600.458647,1427.330827,850.3984962,2819.481203,5154.819549,518.7744361,228.0902256,7483.834586,3509.924812,865.112782,340.8646617,1331.315789,2932.203008,842.5789474,151.3609023,2890.398496,2225.203008,1029.488722,230.2105263,3078.255639,501.0150376,31.35338346,133,17.06374558,10.28904684,0.797758539,0.898648649,0.558823529,-0.630902615,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
29,16887.15702,770.0413223,520.1404959,1088.917355,15142.04132,621.5454545,520.1652893,1598.892562,7750.661157,546.7190083,484.785124,1836.247934,10741.89256,1166.363636,4856.619835,2806.966942,3850.429752,1179.677686,600.2396694,3118.07438,7525.809917,867.231405,1499.46281,467.0330579,8737.677686,370.3719008,112.3884298,7302.661157,7356.206612,1510.520661,1057.603306,2810.181818,5955.057851,564.9504132,278.1900826,20674.6281,4233.22314,838.7107438,384.214876,1376.239669,3443.933884,990.2727273,156.4958678,4120.198347,2803.826446,1164.46281,252.3636364,3100.041322,534.2066116,31.09917355,121,12.70991667,12.33678041,0.240528338,0.9453125,0.617346939,-0.402621696,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,B Cell,B Cells
30,18373.89147,731.6589147,502.5736434,1099.883721,16424.2093,577.6434109,521.9844961,1678.682171,8233.333333,499.6356589,416.4108527,1793.434109,12345.36434,1116.410853,6452.449612,3439.449612,4584.976744,1116.426357,332.2170543,2431.666667,8250.875969,2429.100775,104.1782946,440.6976744,10030.31008,381.0620155,108.2868217,7761.550388,8547.224806,1301.968992,852.1782946,2799.131783,6820.193798,548.6356589,275.372093,29554.51938,5193.457364,752.7131783,366.9147287,1326.465116,4022.604651,772.0310078,150.0465116,5128.860465,3220.612403,1148.341085,236.3488372,3223.418605,687.9612403,31.05426357,129,14.13556353,11.72514542,0.558538709,0.962686567,0.767857143,1.18206732,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,B Cell,B Cells
31,23437.41667,721.3257576,456.9242424,1063.734848,20787.21212,598.7727273,1065.439394,1531.318182,10494.66667,522.7045455,1313.431818,1744.181818,15541.86364,1118.143939,3903.689394,2945.568182,5816.689394,1137.69697,342.5378788,4423.901515,10579.43939,1345.454545,109.6060606,915.9621212,12925.00758,367.1666667,108.1136364,4472.44697,10866.17424,1691.840909,829.1060606,2794.924242,8723.69697,585.3560606,260.5681818,14635.09848,6563.590909,1167.257576,376.0606061,1356.840909,5112.05303,715.969697,148.5757576,5284.954545,4064.19697,1176.69697,269.1666667,3127.409091,701.5075758,31.84848485,132,13.81738292,12.2443384,0.463389578,0.942857143,0.676923077,0.386767438,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,T Cell,T Cells
32,40014.78351,1148.505155,564.4948454,1137.793814,34812.04124,763.2061856,624.556701,1654.123711,17047.94845,649.8350515,476.0515464,1770.927835,24757.85567,1642.927835,4466.402062,2875.154639,8759.608247,1276.938144,403.443299,2390.917526,17294.97938,368.5463918,139.0206186,452.7010309,19943.26804,409.2989691,126.6597938,5639.360825,16555.18557,1406.505155,820.7525773,2805.938144,12992.4433,587.9072165,296.3814433,2654.587629,7924.649485,797.185567,405.2680412,1303.360825,7182.340206,604.3402062,159.7113402,1223.010309,5210.082474,1177.845361,406.556701,3240.525773,437.628866,31.16494845,97,15.81025127,8.524970973,0.842174368,0.850877193,0.587878788,-1.256427802,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,B Cell,B Cells
33,16620.70423,666.7887324,439.528169,1056.633803,15066.71831,542.6267606,378.8380282,1536.457746,7788.535211,482.5915493,439.2816901,1774.387324,10496.65493,1054.901408,3741.077465,2600.640845,3884.823944,1074.591549,322.9295775,2708.288732,7354.34507,3984.014085,141.4084507,423.6619718,8534.21831,354.6126761,103.3450704,4813.640845,7357.035211,1308.401408,877.1690141,2814.795775,5851.288732,532.4084507,258.8309859,16673.76056,4152.373239,733.7887324,361.6267606,1301.323944,3329.93662,650.5704225,145.028169,3348.070423,2655.105634,1072.760563,185.5,3084.683099,547.1197183,33.20422535,142,16.72674259,11.39784997,0.731897444,0.916129032,0.591666667,-0.996846612,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
34,17464.97674,740.872093,694.0813953,1110.162791,14963.72093,581.5,702.8488372,1718.813953,7778.55814,488.5813953,422.1860465,1859.523256,11248.5,1087.337209,2537.593023,2204.046512,4150.406977,1143.883721,323.0348837,2911.127907,7220.197674,470.3604651,226.2209302,432.5813953,9149.011628,369.9186047,102.3953488,3505.186047,7671.906977,1267.546512,840.9534884,2813.604651,5963.290698,517.0697674,253.1395349,10731.90698,4634.232558,983.3837209,365.7674419,1343.151163,3565.965116,743.255814,142.7325581,3458.651163,2870.313953,1123.232558,190.627907,3130.162791,664.2209302,31.89534884,86,11.61332602,9.644256094,0.557097082,0.924731183,0.601398601,1.251857345,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Follicular Dendritic Cell,B Cells
